Chemicalsymbol|Name|No.|Atomicmass|Densityat20°C|Meltingpoint°C|Boilingpoint°C|Yearofdiscovery|Discoverer|Description|Uses of Element|State at STP|occurrence_value|group_number|period_number
H|Hydrogen|1|1,00794g/mol|0,084g/l|-259,1°C|-252,9°C|1766|Cavendish|explosive gas, lightest element|90% of atoms in the universe, sun and stars,H2O, life's organic molecules|Gas|Primordial|1|1
He|Helium|2|4,002602g/mol|0,17g/l|-272,2°C|-268,9°C|1895|RamsayandCleve|inert gas, second-lightest element|fuel for nuclear fusion in sun and stars, balloons,lasers, supercold refrigerant|Gas|Primordial|18|1
Li|Lithium|3|6,941g/mol|0,53g/cm3|180,5°C|1317°C|1817|Arfvedson|lightest metal, soft, reactive|lightweight aluminum alloys,batteries, impact-resistant ceramic cookware (Corningware ), mood stabilizer|Solid|Primordial|1|2
Be|Beryllium|4|9,012182g/mol|1,85g/cm3|1278°C|2970°C|1797|Vauquelin|lightweight metal|non-sparking copper alloy tools, aerospace, X-ray windows, beryl gems: emeralds and aquamarines|Solid|Primordial|2|2
B|Boron|5|10,811g/mol|2,46g/cm3|2300°C|2550°C|1808|DavyandGay-Lussac|hard black solid|borax soap, fertilizer, stiff fibers, sports equipment (golf clubs, tennis rackets, skis), heat-resistant borosilicate glass (Pyrex ),semiconductors|Solid|Primordial|13|2
C|Carbon|6|12,011g/mol|3,51g/cm3|3550°C|4827°C|prehistoric|unknown|hard diamond, soft graphite|basis of life's organic molecules, animals, plants,CO2, wood, paper,°Cloth,plastic,°Coal, oil|Solid|Primordial|14|2
N|Nitrogen|7|14,00674g/mol|1,17g/l|-209,9°C|-195,8°C|1772|Rutherford|colorless gas|78% of air, organic molecules, protein, muscles,DNA, ammonia, fertilizer,explosives (TNT),refrigerants|Gas|Primordial|15|2
O|Oxygen|8|15,9994g/mol|1,33g/l|-218,4°C|-182,9°C|1774|PriestleyandScheele|colorless gas|21% of air, H2O, 65% of the human body, organic molecules, blood, breathing,fire, half of earth's crust,minerals, oxides|Gas|Primordial|16|2
F|Fluorine|9|18,9984032g/mol|1,58g/l|-219,6°C|-188,1°C|1886|Moissan|yellowish poison gas, most reactive element|glowing fluorite,toothpaste, nonstick cookware (Teflon ),°CFC refrigerants (Freon )|Gas|Primordial|17|2
Ne|Neon|10|20,1797g/mol|0,84g/l|-248,7°C|-246,1°C|1898|RamsayandTravers|inert gas|orange-red neon tubes for advertising signs, lasers,supercold refrigerant|Gas|Primordial|18|2
Na|Sodium|11|22,989768g/mol|0,97g/cm3|97,8°C|892°C|1807|Davy|soft metal, reactive|salt (NaCl), nerves, baking soda, antacids, lye, soap,soda ash, glass,papermaking, street lamps|Solid|Primordial|1|3
Mg|Magnesium|12|24,305g/mol|1,74g/cm3|648,8°C|1107°C|1755|Black|lightweight metal|chlorophyll in green plants,talc, basalt, aluminum alloys,°Cars, planes, bikes,flares, sparklers, antacids|Solid|Primordial|2|3
Al|Aluminium|13|26,981539g/mol|2,70g/cm3|660,5°C|2467°C|1825|Oersted|lightweight non-corroding metal|common metal, kitcheware,cans, foil, machinery,°Cars,planes, bikes, feldspar,granite,°Clay,°Ceramics,corundum, gems|Solid|Primordial|13|3
